Date,Time,NO,NO2,CO,CO 8hr,O3,O3 8hr,PM2.5,PM10,Wind Speed,Wind Dir,Temperature,RH,Solar Rad,BP,Rain,V Wind Speed
01/01/2015,15:00,3.52,10.93,1.73,2.0,15.51,8.31,49.0,,2.45,139.77,27.14,54.9,185.46,1012.47,,
02/01/2017,12:00,,8.65,,3.31,,,32.94,80.18,2.75,92.64,25.82,56.28,665.93,1014.75,0.02,
08/12/2016,08:00,2.92,4.85,0.96,0.85,7.05,3.55,,,1.98,21.43,28.72,80.99,358.2,1004.02,,
1/24/2014,01:00,61.27,22.67,3.17,2.6,2.52,5.08,168.55,349.25,1.7,54.43,19.67,77.97,7.79,,,
11/19/2015,08:00,9.12,13.18,3.6,3.55,3.22,1.07,,102.46,1.59,47.4,20.6,80.34,188.8,1015.57,,
11/06/2016,09:00,2.41,6.75,1.7,1.65,17.05,15.48,,,6.07,42.69,19.95,96.02,46.77,1008.3,4.29,
8/23/2013,21:00,3.75,15.15,1.42,0.67,2.32,5.22,57.83,154.13,1.08,308.27,31.9,71.68,7.76,1081.26,0.05,1.45
11/22/2017,05:00,3.28,5.11,,,,,39.93,63.06,0.45,64.32,20.75,90.04,8.23,1008.68,,
12/23/2013,24:00:00,14.07,25.03,0.72,1.27,2.64,4.07,116.26,185.4,2.82,37.92,18.38,75.18,7.36,,0.02,
5/19/2016,05:00,2.59,4.58,0.18,0.5,36.13,18.4,,21.56,3.83,102.94,22.16,98.7,6.63,1005.87,1.91,
11/23/2013,17:00,6.49,10.39,1.29,0.7,22.06,23.13,24.33,63.81,2.48,218.53,27.12,46.75,71.18,,,
5/13/2016,07:00,5.38,5.88,1.41,1.45,,,16.07,30.03,2.45,28.18,23.26,89.97,61.0,1005.43,0.04,
12/12/2017,19:00,6.23,13.45,,,,,143.27,202.25,0.47,244.28,23.24,85.99,8.16,1011.59,0.02,
12/30/2016,12:00,,9.59,3.05,3.02,,,25.03,65.13,3.24,82.48,25.64,47.8,671.35,1015.69,0.02,
1/21/2019,16:00,3.01,10.61,0.33,0.58,32.8,19.94,45.0,95.34,1.03,230.04,26.4,39.73,238.58,1012.25,,
25/03/2018,11:00,2.55,6.52,,,,,103.48,178.15,0.54,129.5,30.11,60.7,701.17,1013.88,,
09/08/2014,09:00,7.52,14.72,1.86,1.67,7.02,9.07,,14.34,2.48,32.15,25.11,94.91,85.84,1008.24,1.22,
11/03/2018,05:00,3.07,4.97,,,,,12.0,43.58,0.45,55.23,22.38,82.08,7.87,1011.74,0.04,
14/02/2017,15:00,4.09,0.43,,4.34,,,,148.56,4.34,238.38,28.5,36.87,487.83,1016.44,0.03,
22/01/2016,14:00,190.09,14.72,4.64,4.67,0.25,0.59,,,3.64,224.02,19.8,71.52,527.49,1014.46,,
4/27/2013,12:00,0.53,0.36,3.16,3.12,35.12,31.51,23.97,35.31,4.89,216.85,27.71,72.76,872.75,1090.1,0.05,2.84
5/16/2016,18:00,3.73,10.17,0.96,,11.79,6.14,17.9,48.9,2.91,40.47,26.84,79.73,50.08,1001.28,0.02,
10/07/2017,08:00,2.74,3.21,,,6.78,6.67,4.06,23.62,2.38,208.2,25.4,94.31,27.07,1009.24,0.82,
19/01/2018,19:00,2.93,12.58,,,,,111.88,168.24,0.49,252.56,20.93,82.06,7.89,1011.84,,
11/24/2015,12:00,105.43,13.97,1.6,1.6,12.88,7.76,20.79,70.0,3.12,64.29,26.76,44.93,709.97,1013.19,0.03,
6/28/2014,12:00,4.41,10.5,0.75,0.65,11.35,8.14,30.63,53.05,2.73,,30.3,72.16,734.92,1004.32,0.02,
4/28/2013,08:00,0.14,1.59,3.1,3.07,24.43,25.19,13.17,,3.74,185.69,22.91,89.77,208.85,1089.48,0.02,2.13
3/19/2015,11:00,0.26,11.01,2.99,3.11,1.24,,74.56,134.12,2.54,197.2,29.13,38.85,733.57,1013.72,,
17/02/2019,08:00,7.44,17.8,0.62,1.03,2.72,1.13,98.9,142.75,0.8,75.33,16.32,95.68,35.02,1012.33,0.18,
12/12/2018,08:00,,,0.53,1.15,,,52.69,89.06,0.72,56.37,19.5,89.39,136.5,1014.53,,
5/23/2013,21:00,,,3.74,3.34,1.78,4.12,49.18,63.41,2.98,167.88,27.64,84.0,7.12,1083.24,0.03,2.36
5/28/2018,08:00,2.69,3.57,,,,,,,1.74,208.56,23.18,93.67,37.85,1005.24,1.01,
6/20/2018,08:00,4.92,4.25,,,,,28.03,65.26,0.47,70.4,28.94,87.65,390.82,1003.18,,
04/04/2019,16:00,4.16,7.12,0.19,0.24,22.9,17.38,31.0,69.16,0.87,215.18,30.51,56.72,261.08,1008.62,0.04,
04/02/2013,12:00,4.72,1.36,2.44,2.56,16.46,6.86,70.42,95.84,2.84,264.4,31.36,57.2,759.02,1092.98,0.02,2.22
11/30/2016,24:00:00,10.93,17.65,3.12,4.65,0.34,1.8,45.68,110.2,0.48,54.96,21.42,75.57,8.13,1014.8,,
3/19/2016,02:00,4.0,9.51,0.62,1.66,29.68,16.58,,,2.57,61.19,22.57,56.5,6.86,1008.36,0.02,
11/21/2016,10:00,5.27,9.49,2.34,2.14,8.11,6.24,15.15,50.34,2.47,98.94,22.66,70.47,585.82,1012.57,0.02,
3/30/2014,15:00,1.44,5.99,2.02,2.11,44.33,25.59,63.91,149.66,11.19,204.07,35.28,38.27,618.24,,0.07,
11/29/2018,24:00:00,,,2.25,2.45,,,142.61,296.06,0.3,124.52,19.62,86.32,7.84,1017.12,0.03,
03/03/2013,17:00,4.65,0.83,1.88,1.93,50.91,43.67,40.79,89.24,4.47,23.21,31.6,38.53,182.21,1090.5,0.03,1.41
06/05/2016,21:00,3.79,14.13,1.23,0.81,21.99,34.88,36.57,93.16,0.97,286.73,30.51,73.17,7.69,1005.58,0.03,
07/01/2013,17:00,1.8,2.6,1.06,1.1,13.91,12.98,16.69,66.14,2.29,173.59,33.37,62.6,273.82,1073.67,0.04,1.73
7/21/2013,04:00,2.06,2.14,1.41,1.61,3.26,3.16,10.04,,2.9,74.23,27.5,91.86,7.33,1078.11,1.02,1.53
04/10/2014,14:00,2.39,8.05,2.13,2.06,21.4,14.04,35.0,69.94,2.85,70.12,32.09,50.42,770.38,,0.02,
03/08/2013,24:00:00,24.02,28.22,3.49,2.83,4.8,20.18,204.06,319.97,1.82,244.01,23.63,76.56,7.73,1093.18,0.01,1.15
16/03/2018,08:00,1.99,5.61,,,,,28.24,41.29,3.26,63.5,20.98,86.61,86.22,1008.85,0.03,
